zone;int;intmax;%;x;y;name
18;265;1500;17,67;436392,418995138;4469883,35910294;(AFOROS)EUGENIA MONTIJO S-N(AV. POBLADOS-NTRA. SRA. FATIMA)GIRO
56;644;3000;21,47;436850,575923152;4469466,84219796;AV.DE LOS POBLADOS ENTRE ANTONIO RODRIGUEZ  Y SECOYA O-E
56;38;1500;2,53;436914,123059181;4469420,97094029;ANTONIA RODRIGUEZ SACRISTAN O-E(GUAYABA-SECOYA)
56;872;3300;26,42;437182,121820681;4469502,69184852;AV. POBLADOS E-O(BELZUNEGUI-ALISEDA)
18;189;1500;12,60;436527,125534707;4470047,3438503;EUGENIA MONTIJO N-S(ANTOLIN-NTRA. SRA. FATIMA)
56;152;1400;10,86;438661,138071704;4469476,20728284;(TACTICO)AV. POBLADOS GIRO E-O(CTRA. TOLEDO-CAZALEGAS)
56;303;1500;20,20;438895,255532337;4469521,6962144;AV. POBLADOS E-S(GIRO A C.TOLEDO SENTIDO SUR)
56;606;3300;18,36;437086,850214925;4469471,04465774;AV. POBLADOS O-E(SECOYA-AV. EURO)
18;189;1500;12,60;436060,156661796;4469364,64562289;JOAQUIN TURINA O-E(POLVORANCA-GUITARRA)
18;51;1400;3,64;436513,425795192;4469454,26173925;ANTONIA RGUEZ. SACRISTAN O-E(CARABANCHEL BAJO-GUAYABA)
56;0;1500;0,00;436621,741673991;4469416,24839351;ANTONIA RGUEZ. SACRISTAN E-O(PARTIDA ANTONIO RGUEZ.-GUAYABA)
56;0;1500;0,00;436635,273093191;4469413,10590629;ANTONIA RGUEZ. SACRISTAN GIRO E-O(PARTIDA ANTONIO RGUEZ.-GUAYABA)
56;0;1500;0,00;437261,876903721;4469889,19138149;(TACTICO) CARCASTILLO E-O
56;0;1400;0,00;437214,052322618;4469884,24477043;(TACTICO) REAL MADRID O-E
18;0;1500;0,00;435694,673607042;4470459,59609581;(TACTICO) ERICA N-S (CENTRO C.I.E.)
